"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"OT-E205","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, October","96 x 42.5 x 19 mm (3.78 x 1.67 x 0.75 in)","80 g (2.82 oz)","102 x 80 pixels","","4K colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Black/Silver","","","","","","Yes","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","96","19","42.5","80","2.82","","","","","","","",""
"OT-E207","GSM 850 / 1900 OT-E206A","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007. Released 2007","98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in)","69 g (2.43 oz)","96 x 76 pixels","","CSTN, 65K colors","","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(8) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 720 mAh battery","","","Silver","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","1.10 W/kg (head)    ","1.10 W/kg (head)     0.57 W/kg (body)    ","","","","","","","","alcatel","","","","","98","18.5","42.5","69","2.43","","","","","","","",""
"OT-E220","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","86 x 44.3 x 22.5 mm (3.39 x 1.74 x 0.89 in)","81 g (2.86 oz)","120 x 80 pixels","","4K colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Dark Blue, Light Purple, Glossy White","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","86","22.5","44.3","81","2.86","","","","","","","",""
"OT-E221","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","87.5 x 44 x 21 mm (3.44 x 1.73 x 0.83 in)","70 g (2.47 oz)","128 x 128pixels (~121 ppi pixel density)","","TFT, 65K colors","1.5 inches (~18.9% screen-to-body ratio)","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 325 h","Removable Li-Ion 750 mAh battery","","","Red Glossy, White, Dark Blue","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","1.40 W/kg (head)    ","0.97 W/kg (head)     0.38 W/kg (body)    ","","","","","","","","alcatel","","","","","87.5","21","44","70","2.47","","","","","","","1.5","18.9"
"OT-E225","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","86 x 44.5 x 22.5 mm (3.39 x 1.75 x 0.89 in)","81 g (2.86 oz)","102 x 80 pixels","","Monochrome graphic","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Night Black, Smart Blue, Iron White","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","86","22.5","44.5","81","2.86","","","","","","","",""
"OT-E227","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2007, February","87 x 45 x 21 mm (3.43 x 1.77 x 0.83 in)","70 g (2.47 oz)","128 x 128 pixels (~121 ppi pixel density)","","TFT, 65K colors","1.5 inches (~18.5% screen-to-body ratio)","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 325 h","Removable Li-Ion 750 mAh battery","","","Light brown","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","87","21","45","70","2.47","","","128","128","121","","1.5","18.5"
"OT-E230","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Cancelled","Mini-SIM","","2007, February","84.6 x 45 x 23.4 mm (3.33 x 1.77 x 0.92 in)","83 g (2.93 oz)","102 x 80 pixels (~100 ppi pixel density)","","CSTN, 4096 colors","1.3 inches (~13.9% screen-to-body ratio)","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","White, Brown, Fuchsia","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","Embedded","1.00 W/kg (head)    ","","","","","","","","","alcatel","","","","","84.6","23.4","45","83","2.93","","","102","80","100","","1.3","13.9"
"OT-E252","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","97 x 43 x 19 mm (3.82 x 1.69 x 0.75 in)","76 g (2.68 oz)","102 x 80 pixels","","CSTN, 4096 colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Glossy Black, Metallic Purple, Pearl Grey","","","","","","250 numbers","10 dialed, 10 received, 10 missed calls","2 - Bricks, Tetris","","","","","","","","","","alcatel","","","","","97","19","43","76","2.68","","","","","","","",""
"OT-E256","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in)","75 g (2.65 oz)","102 x 80 pixels","","CSTN, 4096 colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS, EMS","","No","No","Up to 270 h","Removable Li-Ion 650 mAh battery","","","Thinking Black, Metallic Blue, Lipstick Red","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","83","22","43","75","2.65","","","","","","","",""
"OT-E257","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 3Q","83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in)","77 g (2.72 oz)","102 x 80 pixels","","CSTN, 4096 colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16), MP3 ringtones","No","No","","No","No","No","SMS","","No","No","Up to 270 h","Removable Li-Ion 650 mAh battery","","","Dark Chrome","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2 - Bricks, Russia","","","","","","","","","","alcatel","","","","","83","22","43","77","2.72","","","","","","","",""
"OT-E259","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2005, 1Q","83 x 43 x 22 mm (3.27 x 1.69 x 0.87 in)","75 g (2.65 oz)","102 x 80 pixels","","CSTN, 4096 colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 270 h","Removable Li-Ion 650 mAh battery","","","Thinking Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","83","22","43","75","2.65","","","","","","","",""
"OT-E260","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, 1Q","87 x 45 x 25.5 mm (3.43 x 1.77 x 1.00 in)","90 g (3.17 oz)","102 x 80 pixels (~86 ppi pixel density)","","CSTN, 4096 colors","1.5 inches, 27 x 28 mm (~18.0% screen-to-body ratio)","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS, EMS","","No","No","Up to 270 h","Removable Li-Ion 650 mAh battery","","","Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2","","","","","","","","","","alcatel","","","","","87","25.5","45","90","3.17","","","102","80","86","","",""
"OT-E265","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, February","87 x 46 x 23.6 mm (3.43 x 1.81 x 0.93 in)","90 g (3.17 oz)","102 x 80 pixels","","CSTN, 4096 colors","","","","","","","No","","","","","No","No","Vibration; Polyphonic(16) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 275 h","Removable Li-Ion 650 mAh battery","","","Black","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2 embedded","","","","","","","","","","alcatel","","","","","87","23.6","46","90","3.17","","","","","","","",""
"OT-E801","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2006, February","96.5 x 45 x 17.5 mm (3.80 x 1.77 x 0.69 in)","76 g (2.68 oz)","128 x 128 pixels","","CSTN, 65K colors","","","","","","","microSD (dedicated slot)","","","","","No","No","Vibration; Polyphonic(64) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion battery","","","Soft Touch Black, Soft Touch Orange, Glossy White","","","","","","250 entries","10 dialed, 10 received, 10 missed calls","2 embedded","","","","","","","","","","alcatel","","","","","96.5","17.5","45","76","2.68","","","","","","","",""
"OT-E805","GSM 850 / 1900 - US version","GSM 900 / 1800","","","No","GSM","Cancelled","Mini-SIM","","2007, February","97 x 45 x 17.3 mm (3.82 x 1.77 x 0.68 in)","80 g (2.82 oz)","128 x 128 pixels","","CSTN, 65K colors","","","","","","","microSD (dedicated slot)","","","","","No","No","Vibration; Polyphonic(64), MP3 ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 650 mAh battery","","","Pink, Light Blue, Dark Chrome","","","","","","250 entries","20 dialed, 20 received, 20 missed calls","2 embedded","","","","","","","","","","alcatel","","","","","97","17.3","45","80","2.82","","","","","","","",""
"OT Easy db","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2000","122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)","150 g (5.29 oz)","3 lines","","Alphanumeric","","","","","","","No","","","","","Yes","No","Monophonic ringtones","No","","","No","No","No","SMS","","No","","up to 130 h","Removable NiMH 650 mAh battery","","","9 (Atoll Blue, Havana Brown, ...)","","","","","","","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","","","","150","5.29","","","","","","","",""
"OT Easy HF","No","GSM 900","","","No","GSM","Discontinued","Mini-SIM","","1998","133 x 54 x 25 mm, 160 cc (5.24 x 2.13 x 0.98 in)","160 g (5.64 oz)","2 x 12 chars","","Alphanumeric","","","","","","","No","","","","","Yes","No","Monophonic ringtones","No","","","No","No","No","SMS","","No","","Extended 1200 mAh NiMH","3 h","","","Many","","","","","","SIM only","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","","","","160","5.64","","","","","","","",""
"OT Gum db","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2000","122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)","150 g (5.29 oz)","3 lines","","Alphanumeric","","","","","","","No","","","","","Yes","No","Monophonic ringtones","No","","","No","No","No","SMS","","No","","up to 130 h","Removable NiMH 650 mAh battery","","","5","","","","","","","10 received, dialed and missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","","","","150","5.29","","","","","","","",""
"OT-I650 PRO","Class 10","GSM 900 / 1800 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2008, February. Released 2008, August","102 x 45 x 15.9 mm (4.02 x 1.77 x 0.63 in)","75 g (2.65 oz)","128 x 160 pixels (~114 ppi pixel density)","","OLED, 65K colors","1.8 inches (~22.2% screen-to-body ratio)","","","","","2 MB","microSD, up to 2 GB (dedicated slot)","No","No","1.3 MP","Webcam","Yes","No","Vibration; Polyphonic(64) ringtones","No","miniUSB","","2.0, A2DP","FM radio, RDS","No","SMS, MMS, Instant Messaging","Accelerometer","No","WAP 2.0/xHTML","Up to 800 h","Removable Li-Ion 1000 mAh battery","Up to 10 h","","Black with Chrome","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","1","1.00 W/kg (head)    ","1.09 W/kg (head)     1.21 W/kg (body)    ","","","","","","","","alcatel","","","","","102","15.9","45","75","2.65","","2","128","160","114","1","1.8","22.2"
"OT-I650 SPORT","Class 10","GSM 900 / 1800 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2008, February. Released 2008, August","102 x 45 x 15.9 mm (4.02 x 1.77 x 0.63 in)","75 g (2.65 oz)","128 x 160 pixels (~114 ppi pixel density)","","OLED, 65K colors","1.8 inches (~22.2% screen-to-body ratio)","","","","","2 MB","microSD (dedicated slot)","No","Yes","1.3 MP","","Yes","No","Vibration; Polyphonic(64) ringtones","No","miniUSB","","2.0, A2DP","No","No","SMS, MMS, Instant Messaging","Accelerometer","No","WAP 2.0/xHTML","Up to 800 h","Removable Li-Ion 1000 mAh battery","Up to 10 h","","Black & Orange","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","1","0.76 W/kg (head)    ","1.09 W/kg (head)     1.21 W/kg (body)    ","","","","","","","","alcatel","","","","","102","15.9","45","75","2.65","","","128","160","114","1","1.8","22.2"
"OT Max db","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2000","122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)","150 g (5.29 oz)","3 lines","","Alphanumeric","","","","","","","No","","","","","Yes","No","Monophonic ringtones","No","","","No","No","No","SMS","","No","","up to 130 h","Removable NiMH 650 mAh battery","","","Denim Blue, Lolita, Grey, Gala Black, Ranger Green, Techno White","","","","","","","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","","","","150","5.29","","","","","","","",""
"OT Pocket","No","GSM 900","","","No","GSM","Discontinued","Mini-SIM","","1999","116 x 65 x 19 mm (4.57 x 2.56 x 0.75 in)","125 g (4.41 oz)","96 x 64 pixels, 5 x 15 chars","","Monochrome graphic","","","","","","","No","","","","","No","No","Vibration; Monophonic ringtones","No","","","No","No","No","SMS","","No","","up to 80 h","Removable Li-Ion 600 mAh battery","","","Gray","","","","","","350","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","116","19","65","125","4.41","","","","","","","",""
"OT Pro","No","GSM 900","","","No","GSM","Discontinued","Mini-SIM","","1998","133 x 54 x 15 mm (5.24 x 2.13 x 0.59 in)","145 g (5.11 oz)","4 x 16 chars","","Monochrome graphic","","","","","","","No","","","","","No","No","Vibration; Monophonic ringtones","No","","","No","No","No","SMS","","No","","70 h","Removable NiMH 600 mAh battery","","","Gray","","","","","","100","5 dialed, 5 received, 5 missed calls","No","","","","","","","Yes","Yes","","alcatel","","","","","133","15","54","145","5.11","","","","","","","",""
"OT-S107","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2008, February","98 x 42.5 x 18.5 mm (3.86 x 1.67 x 0.73 in)","69 g (2.43 oz)","96 x 64 pixels (~89 ppi pixel density)","","STN, monochrome graphics","1.3 inches (~12.1% screen-to-body ratio)","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(8) ringtones","No","No","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 720 mAh battery","","","Black, Red","","","","","","255 entries","20 dialed, 20 received, 20 missed calls","2","1.06 W/kg (head)    ","","","","","","","","","alcatel","","","","","98","18.5","42.5","69","2.43","","","96","64","89","","1.3","12.1"
"OT-S120","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2008, February. Released 2008, April","98 x 44 x 12.3 mm (3.86 x 1.73 x 0.48 in)","","96 x 64 pixels (~89 ppi pixel density)","","STN, monochrome graphics","1.3 inches (~11.7% screen-to-body ratio)","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(16) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 670 mAh battery","","","Black, Black&White","","","","","","255 entries","20 dialed, 20 received, 20 missed calls","1","1.10 W/kg (head)    ","1.26 W/kg (head)     0.74 W/kg (body)    ","","","","","","","","alcatel","","","","","98","12.3","44","","","","","96","64","89","","1.3","11.7"
"OT-S121","GSM 850 / 1900","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2009, June. Released 2009","98 x 44 x 12.5 mm (3.86 x 1.73 x 0.49 in)","60 g (2.12 oz)","98 x 64 pixels (~90 ppi pixel density)","","STN, monochrome graphics","1.3 inches (~11.6% screen-to-body ratio)","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(8) ringtones","No","miniUSB (charging only)","","No","FM radio","No","SMS","","No","No","Up to 290 h","Removable Li-Ion 670 mAh battery","","","Various","","","","","","255 entries","20 dialed, 20 received, 20 missed calls","2","","1.24 W/kg (head)     0.70 W/kg (body)    ","","","","","","","","alcatel","","","","","98","12.5","44","60","2.12","","","98","64","90","","1.3","11.6"
"OT-S210","No","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2008, February. Released 2008, April","98 x 44 x 12.3 mm (3.86 x 1.73 x 0.48 in)","70 g (2.47 oz)","128 x 128 pixels (~121 ppi pixel density)","","STN, 65K colors","1.5 inches (~16.8% screen-to-body ratio)","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(16) ringtones","No","Yes","","No","No","No","SMS","","No","No","Up to 250 h","Removable Li-Ion 670 mAh battery","","","Black, Black&Purple, Black&Green","","","","","","255 entries","20 dialed, 20 received, 20 missed calls","1","1.10 W/kg (head)    ","1.27 W/kg (head)     0.97 W/kg (body)    ","","","","","","","","alcatel","","","","","98","12.3","44","70","2.47","","","128","128","121","","1.5","16.8"
"OT-S211","GSM 850 / 1900 OT-S211A","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2008. Released 2008","98 x 44 x 12.5 mm (3.86 x 1.73 x 0.49 in)","60 g (2.12 oz)","128 x 128 pixels (~121 ppi pixel density)","","CSTN, 65K colors","1.5 inches (~16.8% screen-to-body ratio)","","","","","","No","","","","","Yes","No","Vibration; Polyphonic(8) ringtones","No","miniUSB","","No","Stereo FM radio","No","SMS","","No","No","Up to 290 h","Removable Li-Ion 670 mAh battery","","","Black, White, White & Green and White & Fuchsia","","","","","","255 entries","20 dialed, 20 received, 20 missed calls","1","1.10 W/kg (head)    ","1.27 W/kg (head)     0.97 W/kg (body)    ","","","","","","","","alcatel","","","","","98","12.5","44","60","2.12","","","128","128","121","","1.5","16.8"
"OT-S215A","Class 10","GSM 850 / 1900","","","No","GSM","Discontinued","Mini-SIM","","2008. Released 2008","98 x 43.6 x 13.8 mm (3.86 x 1.72 x 0.54 in)","70 g (2.47 oz)","128 x 160 pixels (~114 ppi pixel density)","","CSTN, 65K colors","1.8 inches (~23.9% screen-to-body ratio)","","","","","2 MB","No","","","","","Yes","No","Vibration, MP3 ringtones","No","No","","No","Stereo FM radio","No","SMS, MMS, Email","","No","WAP 2.0 / xHTML","Up to 400 h","Removable Li-Ion 670 mAh battery","","","Various","","","","","","800 entries, Photocall","20 dialed, 20 received, 20 missed calls","1","1.10 W/kg (head)    ","","","","","","","","","alcatel","","","","","98","13.8","43.6","70","2.47","","","128","160","114","","1.8","23.9"
"OT-S218","Class 10","GSM 900 / 1800","","","No","GSM","Discontinued","Mini-SIM","","2008, February. Released 2008, July","98 x 43.6 x 13.8 mm (3.86 x 1.72 x 0.54 in)","70 g (2.47 oz)","128 x 160 pixels (~114 ppi pixel density)","","STN, 65K colors","1.8 inches (~23.9% screen-to-body ratio)","","","","","2 MB","No","","","","","Yes","No","Vibration; Polyphonic(64), MP3 ringtones","No","Yes","","2.0","Stereo FM radio, RDS","No","SMS, MMS","","No","WAP 2.0/xHTML","Up to 400 h","Removable Li-Ion 670 mAh battery","","","Silver, Silver/Blue, Silver/Pink","","","","","","800 entries","20 dialed, 20 received, 20 missed calls","2","1.00 W/kg (head)    ","","","","","","","","","alcatel","","","","","98","13.8","43.6","70","2.47","","","128","160","114","","1.8","23.9"
